Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b2435,amiA,64.703,64.542,59.31,52.754,70.055,56.649,65.984,68.695
b2436,hemF,40.851,35.335,29.591,28.537,41.819,31.635,45.38,42.836
b2437,eutR,4.317,4.774,4.495,6.258,5.096,4.008,6.866,7.879
b2438,eutK,13.735,14.319,9.604,13.362,13.425,9.895,16.207,20.715
b2439,eutL,9.335,10.793,11.034,9.275,10.228,7.613,11.853,17.647
b2440,eutC,10.183,10.098,10.573,9.973,8.641,8.978,12.486,17.439
b2441,eutB,7.515,10.979,9.891,11.417,7.167,9.788,11.884,17.342
b2442,intZ,38.917,22.522,20.953,21.286,37.999,21.611,31.06,35.575
b2443,yffL,9.751,5.508,7.13,8.196,8.85,5.635,8.236,9.324
b2444,yffM,1.616,2.054,0.634,1.376,0.987,1.362,1.864,1.984
b2445,yffN,1.481,1.232,1.269,1.906,1.711,0.908,2.413,1.675
b2446,yffO,1.847,2.241,2.557,1.437,1.281,1.821,1.682,3.745
b2447,yffP,1.631,2.934,2.058,2.85,2.698,1.729,1.907,1.862
b2448,yffQ,1.38,0.936,2.202,1.171,2.12,1.122,3.64,1.377
b2449,yffR,5.752,8.741,9.927,14.648,10.689,10.398,20.524,10.762
b2450,yffS,36.68,23.887,23.439,25.533,31.656,22.11,44.694,44.985
b2451,eutA,1.097,0.504,0.482,0.538,0.813,0.334,1.249,0.718
b2452,eutH,0.688,0.823,0.551,0.913,1.128,0.892,0.989,0.769
b2453,eutG,0.46,0.17,0.482,0.175,0.511,0.15,0.727,0.849
b2454,eutJ,0.297,0.211,0.684,0.747,0.377,0.48,1.483,0.428
b2455,eutE,0.478,0.198,0.333,0.074,0.726,0.35,0.384,0.371
b2456,eutN,0.776,0.702,0.722,0,0,0.31,1.124,0.678
b2457,eutM,5.746,2.749,2.212,3.544,4.625,4.557,7.065,3.984
b2458,eutD,0.537,0.596,0.486,0.666,0.382,0.483,0.822,1.184
b2459,eutT,0.494,0.126,0.518,0.065,0.544,0.111,0.403,1.335
b2460,eutQ,0.212,0.216,0.333,0.223,0.623,0.127,0.461,1.066
b2461,eutP,0.052,0.105,0.108,0.054,0.202,0.093,0.45,0.271
b2462,eutS,0.37,0,0.232,0.078,0.434,0.133,0,0.484
b2463,maeB,43.299,20.274,20.966,20.084,29.522,20.548,35.235,46.575
b2464,talA,66.193,32.643,37.603,49.493,62.045,31.489,30.948,48.407
b2465,tktB,67.286,32.129,38.35,45.947,68.265,26.354,36.897,52.811
b2466,ypfG,15.419,5.807,5.231,8.283,13.49,4.92,8.114,9.037
b2467,nudK,38.902,40.432,41.902,40.564,37.561,34.078,50.3,47.897
b2468,aegA,3.312,4.465,7.54,6.275,3.838,4.342,10.082,8.051
b2469,narQ,14.604,15.295,16.452,17.089,13.79,16.62,17.953,16.028
b2470,acrD,10.562,10.253,9.154,9.82,11.135,8.777,10.898,9.925
b2471,yffB,36.323,35.094,35.551,48.958,32.308,40.909,59.318,54.77
b2472,dapE,46.424,37.531,35.323,35.654,42.687,33.912,56.584,62.702
b2473,ypfH,52.989,42.605,42.156,45.76,51.065,37.793,50.132,50.965
b2474,tmcA,59.307,41.084,40.225,36.733,59.584,39.976,45.764,48.817
b2475,ypfJ,142.611,103.669,95.814,94.573,137.232,93.045,94.574,109.5
b2476,purC,488.626,901.341,848.063,938.588,514.952,731.665,509.455,626.798
b2477,bamC,327,295.815,270.784,298.427,322.937,246.546,379.13,408.448
b2478,dapA,352.251,372.568,354.406,399.218,357.985,334.303,480.544,483.38
b2479,gcvR,70.58,54.883,64.271,69.233,72.93,56.431,88.839,100.554
b2480,bcp,275.739,410.424,334.072,361.735,291.227,373.414,410.718,366.436
b2481,hyfA,3.135,0.409,0.589,0.084,1.493,0.217,1.048,0.421
b2482,hyfB,1.28,1.001,0.708,0.916,1.203,0.619,1.082,0.693
b2483,hyfC,0.21,0,0.192,0.412,0.307,0.141,0.398,0.103
b2484,hyfD,0.656,0.281,0.253,0.217,0.877,0.403,0.262,0.271
b2485,hyfE,0.458,0.233,0.4,0.24,0.559,0.137,0.249,0.6
b2486,hyfF,2.184,1.166,1.448,1.153,1.812,0.579,1.553,1.399
b2487,hyfG,2.13,0.984,1.653,1.452,2.489,0.964,3.024,3.745
b2488,hyfH,1.774,1.434,1.286,2.958,1.734,0.982,1.877,1.311
b2489,hyfI,1.407,1.132,0.994,1.235,0.992,1.236,1.67,3.086
b2490,hyfJ,1.2,1.098,1.382,2.957,3.05,1.025,2.541,3.536
b2491,hyfR,1.752,1.518,0.724,1.19,1.496,1.021,1.461,1.81
b2492,focB,3.277,2.023,1.715,1.043,2.746,2.209,2.669,1.724
b2493,yfgO,34.713,44.763,40.506,45.473,36.903,39.363,37.493,45.829
b2494,bepA,34.633,20.135,23.45,25.621,31.546,21.736,29.335,31.489
b2495,yfgD,165.405,137.172,128.161,119.24,145.826,110.476,208.318,193.666
b2496,hda,249.834,442.938,393.268,354.944,251.915,418.561,164.933,184.311
b2497,uraA,328.009,1011.411,932.859,925.799,370.063,1006.984,216,320.167
